,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=PI_JLN_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
18075,0.5794954954954955,-0.1686414849415465,0.889894216086617,1.5356361231517706,4.002719375942069,0.029411764705882353,1.9098075355941861,0.9080592002984889,4.860748959778086,40,2.1669334287559354,5.589438122332859,92,1.588826750195768,1.020412520818209,0.025,0.010869565217391304,23.65484
18100,0.6205945945945945,-0.2066300349375531,0.9401136176678376,1.5148595006406234,5.071312973114069,0.021739130434782608,2.2683030506980297,0.9437557058844404,6.413504329716102,54,2.5056924591147918,7.70083837419081,117,1.5089468468930733,1.0038740936713988,0.018518518518518517,0.008547008547008548,23.40045
18125,0.6407427427427428,-0.24676453899250653,0.9687955982015366,1.5119884059155182,6.615263169123765,0.01694915254237288,2.6279066832816227,0.9650211997462904,8.62629873757122,70,2.805663330141965,11.704464574571336,141,1.472149862128056,0.9961040301357139,0.014285714285714285,0.0070921985815602835,23.08227
18150,0.646946946946947,-0.2813877763483521,0.9829274330806127,1.5193323621345072,9.152369975507852,0.013513513513513514,3.0275213207898752,0.9793779978338233,11.778852953217463,125,3.0762584579389523,19.30221823310681,152,1.490553573960701,0.9963889142500937,0.008,0.006578947368421052,23.33683
18175,0.6416116116116116,-0.30878291647723755,0.9921337972135982,1.5463152150902297,13.154772247734888,0.008130081300813009,3.440228229493788,0.9877435761424092,16.69164249934089,513,3.3166643699980987,33.01333059885152,176,1.5449147468993598,0.9955749707514058,0.001949317738791423,0.005681818181818182,23.20956
18200,0.6184844844844845,-0.3403640325105925,0.9938077188257648,1.606843411203949,15.789960913392306,0.007407407407407408,3.6338647182563135,0.9905351645826118,19.689164843649465,534,3.414287989072184,45.42477419354839,201,1.6192075174651888,0.9967070549149893,0.0018726591760299626,0.004975124378109453,22.95493
18225,0.5931691691691692,-0.3722832351236637,0.994431094070634,1.6764713099696298,18.56689142353015,0.005405405405405406,3.7953463277959347,0.9921191543363214,22.88997040959352,697,3.506967229662727,56.68611193366894,226,1.7242180164628191,0.9976751131897447,0.0014347202295552368,0.004424778761061947,22.95493
18250,0.5746306306306306,-0.40195129781375616,0.9951259110609418,1.7317662129650784,27.997353460105863,0.004081632653061225,4.1769589833089995,0.9949621639700656,32.923910537237724,742,3.7573660696481963,82.48711755233495,251,1.8582276583411397,0.9998354508820883,0.0013477088948787063,0.00398406374501992,22.71609
18275,0.5488028028028028,-0.43293419953693985,0.994549971363638,1.812217368942633,33.12270683999514,0.0027548209366391185,4.28585078281255,0.9952941519806513,38.46024809698336,719,3.8661746553538423,94.36516129032258,276,1.9937662184694909,1.0007482586480727,0.0013908205841446453,0.0036231884057971015,22.89126
18300,0.5231671671671672,-0.46391505336482175,0.9935520162864205,1.8991100333499171,37.43864455659697,0.0022123893805309734,4.296334710460775,0.9946541048974062,43.91366784929887,700,3.9632113919389838,102.90070609002647,301,2.1297463615206027,1.0011092409787512,0.0014285714285714286,0.0033222591362126247,22.68424
18325,0.4987067067067067,-0.4957703380103795,0.9925653542295587,1.9902787367431458,41.305045105245576,0.0017921146953405018,4.229673141903335,0.9940185625281007,49.081070366699706,674,4.035909961656765,108.94601769911505,326,2.2304272974072856,1.0014640933137042,0.001483679525222552,0.003067484662576687,22.70017
18350,0.47538138138138136,-0.5279811026697662,0.9911519332246802,2.0849616161755287,43.59177625486201,0.001763668430335097,4.084545269005395,0.9932913039633107,51.8943894389439,650,4.024071905517281,109.32064297800338,351,2.3493381592136733,1.002158469016622,0.0015384615384615385,0.002849002849002849,22.509
18375,0.4535875875875876,-0.5611516682058445,0.9896851703910985,2.1819053198848626,43.70955165692008,0.0016286644951140066,3.9044040613898163,0.9920906398548773,53.12573859607658,623,3.9957005920557087,106.77544554455446,376,2.4073170178001813,1.0024305400704632,0.0016051364365971107,0.0026595744680851063,22.54087
