,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=PI_FHJ_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
26025,0.18732732732732732,-0.015787093665858887,0.3349470984289836,1.788031160257319,2.2324239618206425,0.14285714285714285,0.5965803496496125,0.37621032382173775,2.2474621719977015,5,0.6196443702392271,6.573903973621345,638,2.5318057986986053,1.1231932612233178,0.2,0.001567398119122257,18.50879
26050,0.1873133133133133,-0.0221467091621497,0.33484390196979574,1.787614003761241,2.2314102564102565,0.14285714285714285,0.5948747096407889,0.37524448767140856,2.2442469956532856,5,0.614287473614098,6.587981166781984,663,2.53211180703433,1.1206549841999425,0.2,0.0015082956259426848,18.41237
26075,0.18743743743743743,-0.024779564468708288,0.33685447263017354,1.7971568392926216,2.2315148942192033,0.14285714285714285,0.5950592953593653,0.37107610146862485,2.232059106970768,5,0.5946373402130648,6.549907733601745,688,2.5227497241681935,1.101591730610692,0.2,0.0014534883720930232,18.41237
26100,0.18716116116116116,-0.02866251194104684,0.3363248366082985,1.7969798569410196,2.232462368645271,0.14285714285714285,0.5966176823981973,0.3664894584273749,2.224805194805195,5,0.5826050284059008,6.547036925243988,713,2.518968639106488,1.0896889510845365,0.2,0.001402524544179523,18.332
26125,0.18789389389389388,-0.03201751570113743,0.3396268632862029,1.8075460370095613,2.231986555563336,0.14285714285714285,0.5957823527202366,0.36645605361576084,2.2275259067357513,5,0.5871577331652731,6.543782748891576,738,2.5222085902429345,1.0789960784313726,0.2,0.0013550135501355014,18.29985
26150,0.18867067067067067,-0.02955752310188195,0.3393215267240373,1.7984858246268252,2.2329446267718733,0.14285714285714285,0.5973748766070234,0.3614244331023652,2.2212729881309508,5,0.5766432933076521,6.48183059654265,763,2.5108562826614853,1.0651385327412597,0.2,0.001310615989515072,18.41237
26175,0.19076476476476475,-0.021559865094220393,0.3436145539265587,1.801247491119629,2.2381570852416433,0.14285714285714285,0.6060317060604805,0.3590101482888537,2.2130288523741752,5,0.5624825875168554,6.414294938657925,773,2.4962152767889467,1.0448048378229797,0.2,0.00129366106080207,18.18731
26200,0.19233033033033034,-0.01918096423062758,0.34678200043718577,1.8030541508538058,2.239061764903555,0.14285714285714285,0.6075310928497264,0.3642798405312848,2.2269169583200763,6,0.581012707867231,6.359081041968162,798,2.487454057861406,1.05045775176347,0.16666666666666666,0.0012531328320802004,18.21947
26225,0.19354154154154155,-0.013297207166712713,0.34929763948941805,1.8047683030076784,2.239851419474662,0.14285714285714285,0.6088826648458053,0.37114425802180523,2.2299564947172157,6,0.5872976717195822,6.356765388604448,823,2.485759322354533,1.0625444207533759,0.16666666666666666,0.001215066828675577,18.44451
26250,0.19502702702702704,-0.003587698150614445,0.3510408967726041,1.7999602522985518,2.242279194806898,0.14285714285714285,0.6127915362571051,0.38185718978401906,2.274055508008314,9,0.6431135464399188,6.426333806462386,848,2.49885893026807,1.0877854782583267,0.1111111111111111,0.0011792452830188679,18.3963
26275,0.19536336336336335,0.00011862340825235413,0.35232210198393177,1.803419514889469,2.2427266797129812,0.14285714285714285,0.6135108501535813,0.39253361206755205,2.309338638692952,9,0.6995926499780144,6.492489704988861,873,2.5117252368549137,1.114132805910241,0.1111111111111111,0.001145475372279496,18.52486
26300,0.19464264264264264,-0.008640332814703375,0.35313297128281085,1.814263136219082,2.24296073691775,0.14285714285714285,0.6138691913239287,0.3942545050604789,2.301056549405691,9,0.6865657135179766,6.508897037700458,898,2.5199222223545945,1.1164477325022573,0.1111111111111111,0.0011135857461024498,18.3963
26325,0.19446846846846846,-0.014039818945022242,0.35381986266819027,1.8194202147766663,2.2448726322664925,0.14285714285714285,0.6169650171545121,0.3952253003489916,2.285858886573385,9,0.6613325331445208,6.482355116932027,923,2.514744002327124,1.1170240623817975,0.1111111111111111,0.0010834236186348862,18.49272
26350,0.1941861861861862,-0.012882639316139576,0.3524372139057281,1.8149448260331476,2.24399369830642,0.14285714285714285,0.6154808012091652,0.39438739741845025,2.285594789986258,9,0.6629212107514315,6.519666390350358,948,2.523143533327711,1.1190288138072253,0.1111111111111111,0.0010548523206751054,18.332
26375,0.195009009009009,-0.00484198993256234,0.3523668730173396,1.8069261251466644,2.243040125473794,0.14285714285714285,0.613973017330413,0.3840791729547158,2.2904371250153055,9,0.6710624366104172,6.525162254918618,973,2.528543104615641,1.089997960551234,0.1111111111111111,0.0010277492291880781,18.2677
26400,0.1951071071071071,-0.01341831558235813,0.353123460843868,1.8098954265669847,2.246344647519582,0.14285714285714285,0.6193215250396268,0.38559965522902645,2.2806943011470535,9,0.6554176314492458,6.552176363108553,998,2.538566514794619,1.0919683849596096,0.1111111111111111,0.001002004008016032,18.36415
26425,0.19466266266266266,-0.01323690709869076,0.35170825020054713,1.806757625677986,2.2432272876352903,0.14285714285714285,0.6142651674863625,0.3762367073245984,2.277328187250996,9,0.6495607448790812,6.501363320744492,533,2.5334925250610394,1.069740920521668,0.1111111111111111,0.001876172607879925,18.25163
26450,0.19428828828828829,-0.01848535912580474,0.35021175306810104,1.8025366127496623,2.2435144233942834,0.14285714285714285,0.6147479271227321,0.37090275845724235,2.2676872676872675,9,0.6329531611590631,6.455488593060148,558,2.5258922114543605,1.0590814134816253,0.1111111111111111,0.0017921146953405018,18.31593
26475,0.1947987987987988,-0.012542627696102425,0.35210992579803085,1.807556966312269,2.245150720838794,0.14285714285714285,0.6173783912232406,0.37263365603995807,2.258502553880653,9,0.6189796313701115,6.4571039262523975,583,2.525653425769279,1.0582878491579348,0.1111111111111111,0.0017152658662092624,18.29985
