,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=w_FHJ_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
8750,0.18553953953953953,-0.0798729456939155,0.34167053314198775,1.8414971492864778,2.247019585580471,0.125,0.6205629109057722,0.41517312817635443,2.3630166431247313,7,0.7847605510506902,7.168078343469234,311,2.6261607533952365,1.2151271119532607,0.14285714285714285,0.003215434083601286,22.22211
8775,0.18617417417417417,-0.08255485993689332,0.34188227197453597,1.8363571289683283,2.25131001274607,0.125,0.6274769727251078,0.43003849710734027,2.361440803070564,7,0.7850271332774503,7.24796415424088,336,2.6409556742921665,1.2578555027836318,0.14285714285714285,0.002976190476190476,22.31776
8800,0.1852232232232232,-0.10921435428049009,0.34274041007792994,1.8504181285349606,2.2535711747565914,0.125,0.6311235473857697,0.4359753131789146,2.368248003757633,7,0.7954401629504947,7.378724531300252,361,2.65821514194989,1.27202775149795,0.14285714285714285,0.002770083102493075,22.4612
8825,0.1843203203203203,-0.10961858466023723,0.34121518877351525,1.8512076594731164,2.2524557252455724,0.125,0.629326988343004,0.43732893079028545,2.3674957370494503,7,0.7940137911565259,7.430473400916751,386,2.667998484350987,1.2816807257679452,0.14285714285714285,0.0025906735751295338,22.23805
8850,0.18471871871871873,-0.0969958557889534,0.34258185483433945,1.8546136374841768,2.254404108123529,0.125,0.6323112454226963,0.44863277228044696,2.390367846624704,7,0.8230764042507901,7.475722952670762,411,2.6751543325606195,1.3095637318485243,0.14285714285714285,0.0024330900243309003,21.9829
8875,0.18594394394394395,-0.06549949529875726,0.3444158528838596,1.8522563605926838,2.2530638118044797,0.125,0.6302041286540953,0.45093078090849387,2.418408592216191,7,0.8575137517400195,7.43080964800396,436,2.665818701211907,1.309262559004658,0.14285714285714285,0.0022935779816513763,22.19022
8900,0.18726326326326326,-0.049174649857424674,0.3463512155487609,1.8495417067566773,2.2530774045482995,0.125,0.6302734948597704,0.4465457888772478,2.400241351568785,7,0.8345846341590752,7.320567775897725,461,2.6452347815955886,1.2892860450041672,0.14285714285714285,0.0021691973969631237,22.3337
8925,0.18681881881881882,-0.05218504840195213,0.34627502250417935,1.8535339463847313,2.251306347105135,0.125,0.6274543058106171,0.44227142183548374,2.3989188560799812,7,0.8321924730786977,7.251361954520945,486,2.6350675584509884,1.2772258843190047,0.14285714285714285,0.00205761316872428,22.17428
8950,0.18698498498498498,-0.06576997505852723,0.3444469426867525,1.8421101711156747,2.2497202797202798,0.125,0.6249226658556247,0.4349939506846968,2.3952364108006132,7,0.827985027461592,7.249758094529215,511,2.635240127606582,1.2628765036834415,0.14285714285714285,0.0019569471624266144,22.30182
8975,0.18844244244244243,-0.04371894720035937,0.3461068556312216,1.8366714586441213,2.250950044911214,0.125,0.6268458288267765,0.42814495309528616,2.4064011464739954,7,0.8391377298417907,7.130906288419546,536,2.613939906018094,1.2370311252992818,0.14285714285714285,0.0018656716417910447,22.30182
9000,0.18702902902902904,-0.06075300980637557,0.344141038952698,1.8400407719556913,2.2484089796489264,0.125,0.6227703930527487,0.43082390468952375,2.4037267080745344,7,0.8340254842177183,7.15987662254209,561,2.619779067785445,1.251881804043546,0.14285714285714285,0.0017825311942959,22.509
