,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=w_JLN_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
1600,0.19872072072072072,-0.027225188518734143,0.3584187142986672,1.8036303058823129,2.2461645305890525,0.125,0.6191415032350734,0.4272372835252516,2.429979371991749,7,0.8604059708619992,6.637839617410591,583,2.560237706299528,1.192006071338224,0.14285714285714285,0.0017152658662092624,18.47665
1625,0.19846846846846847,-0.031235016446563776,0.35706864376859837,1.7991202659243948,2.244784070010781,0.125,0.6168799606227365,0.42507691531749636,2.411582923200183,7,0.8365948391257041,6.604892512972572,583,2.552200802139048,1.1904627380077972,0.14285714285714285,0.0017152658662092624,18.38022
1650,0.19804804804804804,-0.0328475065432603,0.3574323982815264,1.8047761732789733,2.244303395747382,0.125,0.6160498115295054,0.4263330806166288,2.403681750826399,7,0.8268796300878768,6.623129369120566,583,2.5583113797077965,1.1927656325122318,0.14285714285714285,0.0017152658662092624,18.49272
1675,0.19777777777777777,-0.04071498644636869,0.3592671323008402,1.816519208262675,2.2463291139240504,0.125,0.6192842575311688,0.43941694503492257,2.4093911305988787,7,0.839389647475801,6.6495503286060185,583,2.5658460298655035,1.2230925278936098,0.14285714285714285,0.0017152658662092624,18.63732
1700,0.19876676676676677,-0.029482572687404153,0.3575903468836872,1.799044944486541,2.2453200101188973,0.125,0.6176308295388829,0.43718021030578946,2.4001880115018803,7,0.8265587440236255,6.558633756657108,583,2.551339930155511,1.222572740331803,0.14285714285714285,0.0017152658662092624,18.41237
1725,0.20035435435435436,-0.02012696516066923,0.36032255163524085,1.7984263571230432,2.2464490406179913,0.125,0.619358054429737,0.43978136834637327,2.398474114441417,7,0.8268381101969384,6.546940729847122,583,2.546784177438633,1.2205213533000554,0.14285714285714285,0.0017152658662092624,18.46058
1750,0.20125925925925925,-0.0168714899821438,0.36033383401804453,1.7903963044694888,2.247564683253707,0.125,0.6211929965262989,0.44058928269454584,2.4024734215665005,7,0.8317935822811497,6.5120950581345864,583,2.5405967555101183,1.2227252650176679,0.14285714285714285,0.0017152658662092624,18.3963
1775,0.20046246246246247,-0.024560858455819987,0.3598885460047338,1.7952914554869575,2.247614295515499,0.125,0.6213055830198821,0.43359199448722174,2.3962909813445195,7,0.8241217812432023,6.498633671096627,583,2.535978845491578,1.2047952047952049,0.14285714285714285,0.0017152658662092624,18.54093
1800,0.20014614614614615,-0.025642268446115293,0.35895691836795934,1.7934740452401718,2.24512012012012,0.125,0.6172206407160163,0.42544487011493104,2.392316778221497,7,0.8200432787861903,6.498615711252654,583,2.534585750014474,1.1852254361032157,0.14285714285714285,0.0017152658662092624,18.60519
1825,0.19966366366366367,-0.025028121407730638,0.3584506477359323,1.7952723152458407,2.2472340960523005,0.125,0.6207244498303446,0.4186820679420848,2.387557893533078,7,0.8152019698706129,6.425325110604638,583,2.5220181072066223,1.1680326722425802,0.14285714285714285,0.0017152658662092624,18.60519
