,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=w_BDF_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
1775,0.19294894894894896,0.012908515093236995,0.3449438668575816,1.7877468042018096,2.233756635087012,0.125,0.5983375782729184,0.42789848305629913,2.2578702436353684,5,0.6351374584494335,6.633888384987935,798,2.5713135762520154,1.2404872913220033,0.2,0.0012531328320802004,18.31593
1800,0.1938118118118118,0.011575512648952927,0.3480668119699615,1.7959009242838553,2.2349273728195262,0.125,0.600331490019252,0.4247952153208896,2.246599289811527,5,0.6174581963748319,6.58914306154082,823,2.5640863108814305,1.2204415954415955,0.2,0.001215066828675577,18.41237
1825,0.19253853853853853,0.0007993182891925003,0.346698137730964,1.8006687926613136,2.234785522788204,0.125,0.6000917020414911,0.43041186195709813,2.2466214382632295,5,0.616585729788325,6.624611761493567,848,2.571766270346881,1.241459976606784,0.2,0.0011792452830188679,18.54093
1850,0.19334934934934936,0.007783837484784977,0.34747043840212055,1.797112012900031,2.2385431258755255,0.125,0.6062991145406519,0.42666031601399906,2.2568736992003506,5,0.6309374633986075,6.60099487231904,873,2.565119167587731,1.2279039275284582,0.2,0.001145475372279496,18.332
1875,0.19496296296296298,0.027872436056733996,0.349790520003286,1.794138305487979,2.24075779502697,0.125,0.6099626331805482,0.43381869711656945,2.277834690246401,5,0.6660848405950132,6.607852525736174,898,2.5652046761324843,1.240224283701268,0.2,0.0011135857461024498,18.25163
1900,0.19315115115115114,0.010747162424658417,0.3469563324661325,1.7962944067292694,2.2389137850311016,0.125,0.6068210220805443,0.42663170223571967,2.2708264371620874,5,0.6556810035219631,6.613513375100292,923,2.5646053236366932,1.2296409153372767,0.2,0.0010834236186348862,18.15515
1925,0.1915995995995996,0.0030814095592861736,0.34461464515589735,1.798618816928976,2.236,0.125,0.6021407906632851,0.41982571261389284,2.265264700907707,5,0.6473474401992443,6.650960846778338,948,2.5738887394596532,1.2182468694096602,0.2,0.0010548523206751054,18.31593
1950,0.19154954954954956,0.004414706056778102,0.34484056062458845,1.8002681887559644,2.236123348017621,0.125,0.6024539819951101,0.4211268930486314,2.2847017464277615,5,0.6749736222514338,6.681056146511067,973,2.57499699713847,1.2212220403709766,0.2,0.0010277492291880781,18.3963
1975,0.19045045045045045,-0.017969992949499865,0.3423841059602649,1.7977594967639265,2.233491051224028,0.125,0.5980944077313712,0.40904026069588983,2.2783535335792493,5,0.6654853199651958,6.678132087141777,998,2.5682570275539613,1.1946823861717477,0.2,0.001002004008016032,18.28378
2000,0.190998998998999,-0.017141935460820937,0.34382206196805165,1.800124941858222,2.2329475833900614,0.125,0.59735355302882,0.4104544882814138,2.276421346355075,5,0.6632275729565993,6.653333333333333,939,2.568496729190243,1.193799158587891,0.2,0.0010649627263045794,18.34808
2025,0.1917917917917918,-0.012722611950556873,0.3422964509394572,1.7847294075601137,2.2348531316022626,0.125,0.6005294256662773,0.404874739039666,2.277301550023485,5,0.6646459457820427,6.609025375347228,964,2.5619794921951895,1.1828189802390827,0.2,0.001037344398340249,18.21947
2050,0.1918998998998999,-0.010611348382207852,0.3405596010599453,1.7746731563569877,2.234360027378508,0.125,0.5996891990030165,0.400494502055209,2.270329410373174,5,0.6542329220431877,6.583177665319431,989,2.558213046663976,1.175989462075726,0.2,0.0010111223458038423,18.38022
2075,0.19174574574574574,-0.025966252641669935,0.34149117220209446,1.7809582730190567,2.235153420351261,0.125,0.6009559210755456,0.39441619595518757,2.265019786545149,5,0.6461737207900802,6.526214833759591,910,2.5509598551204564,1.1549821139205674,0.2,0.001098901098901099,18.23555
2100,0.19255455455455456,0.001019075383944708,0.34452750543246585,1.7892462020931026,2.2367195410057374,0.125,0.6035931961127845,0.40354123995383706,2.266584910067741,5,0.6484109875331886,6.507182172103638,935,2.5481155535162388,1.1712888915713555,0.2,0.0010695187165775401,18.29985
2125,0.19288688688688688,-0.00793379354519697,0.3459059441394127,1.793309797893413,2.2386646067038356,0.125,0.6068776790126695,0.4081497088648323,2.2640336231216533,5,0.6443084053542888,6.528369272237197,960,2.544265167592418,1.1799441893959852,0.2,0.0010416666666666667,18.54093
2150,0.19344744744744743,-0.002556880053327149,0.34590745857783023,1.78812107961156,2.239914220613859,0.125,0.6089302394804911,0.3995156633239157,2.2669563685477714,5,0.6484898566211063,6.4596406945904015,985,2.528215285586729,1.1549784585926282,0.2,0.0010152284263959391,18.44451
2175,0.19553153153153152,0.004989709518067841,0.34934676659704306,1.7866518195849512,2.2441462772954486,0.125,0.615847736708879,0.4064176598271696,2.3111499272197964,8,0.7049699248015527,6.480872663708484,572,2.535434074581632,1.1633645955451348,0.125,0.0017482517482517483,18.29985
2200,0.19563363363363365,-0.004711401919360222,0.34948167705359245,1.7864089653830824,2.245446774935893,0.125,0.6179361147606542,0.408610403299256,2.3166047806915757,8,0.712442441412936,6.546699091867623,572,2.5494983449515383,1.1691897748235776,0.125,0.0017482517482517483,18.31593
2225,0.19585585585585585,-0.016435043992672146,0.3502708780537667,1.7884115668798577,2.2480482844584397,0.125,0.6221355590497436,0.4159869160789124,2.3431598341777984,8,0.7529245768723947,6.56453262425854,572,2.550447067795334,1.1876149064697816,0.125,0.0017482517482517483,18.15515
2250,0.19457057057057056,-0.03176447427990348,0.35007408322015066,1.7992139417259874,2.248413957176844,0.125,0.6227841955926104,0.4102975676009384,2.332202596794947,8,0.737979832660922,6.549922804160092,446,2.557154883871002,1.1720306851247684,0.125,0.002242152466367713,18.3963
2275,0.19447247247247249,-0.03746001464431755,0.3479138142249766,1.7890131688135125,2.2505160817739895,0.125,0.6261805489451638,0.4098148014700584,2.333470105509965,8,0.7399683666740317,6.526528199932455,446,2.5559588563619804,1.177920463960232,0.125,0.002242152466367713,18.58912
2300,0.1947947947947948,-0.03556769210064646,0.347327852004111,1.7830448312030156,2.2489518866041127,0.125,0.6236657170071336,0.4044090441932169,2.330963805461762,8,0.7367886779174597,6.518352186392031,446,2.5538593089155976,1.1643438378458353,0.125,0.002242152466367713,18.47665
2325,0.19479079079079079,-0.03191600914589985,0.3477563773150527,1.7852814083420916,2.247193996147971,0.125,0.620776818361194,0.4046434664638533,2.3382230668725503,8,0.7464835051922242,6.564466987795952,446,2.558362923212424,1.1635831658588485,0.125,0.002242152466367713,18.38022
2350,0.19506106106106105,-0.029663564461954017,0.34816745866390236,1.7849152299797733,2.2480450629555997,0.125,0.6220519111603899,0.414705489926411,2.3931532812129825,8,0.8140016682848182,6.641810322558424,446,2.57222099630226,1.1911092768917844,0.125,0.002242152466367713,18.41237
2375,0.19774374374374373,-0.014618193341524196,0.3543377238719083,1.7919035877620222,2.254363929146538,0.125,0.6320852307692035,0.4212689702651534,2.406871818602499,8,0.8290629147630892,6.6380077185331325,446,2.570609725137455,1.188891111174605,0.125,0.002242152466367713,18.60519
2400,0.19806606606606605,-0.017779717443166202,0.3546202518850951,1.7904139710979543,2.256350890732523,0.125,0.6352035909331538,0.41607536337356216,2.3945087545808854,8,0.8142891735543066,6.650537914733128,446,2.5716657810963155,1.1732983696271804,0.125,0.002242152466367713,18.36415
